Gene	Group
CSRNP3	has-miR-125b-2
SLC38A1	has-miR-125b-2
TMTC1	has-miR-125b-2
MSANTD4	has-miR-125b-2
ZBTB37	has-miR-125b-2
HN1L	has-miR-125b-2
SYTL4	has-miR-125b-2
CSMD2	has-miR-125b-2
MB21D1	has-miR-125b-2
ABHD15	has-miR-125b-2
MTFMT	has-miR-125b-2
SYT2	has-miR-125b-2
FOXR2	has-miR-125b-2
KDELC2	has-miR-125b-2
AMOTL1	has-miR-125b-2
FAM84B	has-miR-125b-2
DGKH	has-miR-125b-2
FAM179A	has-miR-125b-2
FBXO45	has-miR-125b-2
LRTOMT	has-miR-125b-2
UBN2	has-miR-125b-2
ZNF780A	has-miR-125b-2
MURC	has-miR-125b-2
NDUFS7	has-miR-125b-2
TMEM81	has-miR-125b-2
DFNB59	has-miR-125b-2
SIGLEC14	has-miR-125b-2
CCDC152	has-miR-125b-2
